,"For updates/additions/ comments, email:",hoppecr@umich.edu,,,,,
Not yet updated for 2026,,Emerson Camps,K-8th grade,Emerson School Scio-Church Rd,$290-$360 per week,"Full days 9AM-4PM, before starts at 8AM, after runs til 6PM - $9 per hour for additional two hours per day or 10 hours per week",Before/after care will add additional $90 per week
Coming Soon for 2026 - keep and eye on noted registration dates!,,EMU Camp Options,Varies - see website,EMU Campus,Varies - see website,Varies - see website,
Coming Soon for 2026 - keep and eye on noted registration dates!,,EMU Flights of Imagination,5-6,"Cornell Rd, Ypsilanti","varies; in general- $260 five full days/week; $232 four days/week, etc",June 9 -Aug 15; one week at a time; PT and FT options available,
Coming Soon for 2026 - keep and eye on noted registration dates!,"Registration Opens TUESDAY, FEBRUARY 24th AT 10:00A",First Steps (AAPS Rec & Ed),2-5 year olds,Westerman Preschool & Family Center & Eberbach Cultural Arts Building,"Varies, $90-$175",Half day 9am-1pm 9am - Noon,N/A
OPEN for 2026,Summer 2026 specific info organized here,Future Innovators Academy,5-14,"4130 Varsity Dr, Ann Arbor, MI 48108",$419-$599/week,"M-F 9am-4pm 
(half day options available)","7:30 AM drop-off 
6:30 PM pick-up
+additional fee"
Coming Soon for 2026 - keep and eye on noted registration dates!,"Jan 29, 2026",Girl Scouts Heart of Michigan Camp Linden,Entering 1st-12th Grade Fall of 2025,"Plainwell, Linden, or Brooklyn MI",$430-$1360 (Scholarships Available),Varies,
Not yet updated for 2026,"Registration opens February 3rd, 2025",Go like the wind Montessori ,3-10,Whitmore Lake,$225/week - half day OR $300/week full day,Full-day  8:30 am – 3:15 pm *Half-day 8:30 am – 12:45 pm (only available for ages 3 – 5) ,Not clear
OPEN for 2026,,Great Escape Stables,Ages 4-10,South Lyon,$435 /camper/session for Youth Camp & $225/camper/session for Pony Pal Camp,Mon - Wed - 9am to 3pm (Youth) & 9am - 1pm (Pony Pals),No
Not yet updated for 2026,,Gretchen's House Summer Camp,Ages 5-11,"Traver, Dhu Varren, Northside, Mt Vernon, Oak Valley, Zion Church",$377-$410/week,8am-5pm,No
Not yet updated for 2026,Usually comes very late in the spring,Grizzly Learning Camp,Prek - 12 grade (as of May 2023),YCS schools,Free to Ypsi Community Sschools (YCS) students,"M-Th half day mornings (begins June 19, off week of July 4, and ends Aug. 10",No
Coming Soon for 2026 - keep and eye on noted registration dates!,Enrollment for summer 2026 begins in February 2026. Schedule is to be released January 2026.,Gym America,Preschool +,"5555 Hines Dr, A2",Varies,9AM-4PM,After Care available for full day camps
OPEN for 2026,,Happy Campers Day Camp,6-12,Saline,"$300/week, $575 - 2 weeks, $825 - 3 weeks, $1,050 - 4 weeks",9AM-4PM ,Before care 7-830am $8/day
OPEN for 2026,,Hell Creek Equestrian Center Horse Camp,4+,Pinckney,$260/week 1/2 day or $450/week full day,,
Coming Soon for 2026 - keep and eye on noted registration dates!,"Member Pre-Sale March 4, 2026 | Public Sale March 11, 2026",Henry Ford,Entering 2nd-7th grade,Henry Ford Academy @ Greenfield Village - 40 mins East of Detroit,"One Week Summer Camp, member = $380.00, non-member =  $450.00",9AM-4PM,"Extended care is available for an additional fee. The morning session runs 7-8:50 a.m., and the afternoon session runs 4-6 p.m. A variety of tabletop games are offered in both sessions."
Not yet updated for 2026,,High Velocity Sports,5-14,Canton,Weekly Rate: Half-Day: $135/Full-Day: $245 Daily Rate: Half-Day: $30/Full-Day: $50,"9AM-3PM, before starts at 7:15AM, after til 6PM $5 per child per day - extra $10 per day for both",
Not yet updated for 2026,,Himawari Summer Camp,3-10 (with some kids younger than 3 by arrangement),"Livonia, Mi","$300/any one week, $560/any two weeks, $815/three weeks (additional discounts for siblings)","Weeks of 7/21, 7/28, 8/11, M-F 9am-3pm","7:45-9am: $12/day, 3-615pm: $24/day"
Not yet updated for 2026,"Registration will launch March 1, 2025",Honey Creek School,,,$65/day,"M-F, 8am-6pm ",Yes - included
Coming Soon for 2026 - keep and eye on noted registration dates!,"Registration for summer 2026 Camp PAWS opens Monday, February 9th at 10 am.",HSHV Camp Paws,K-9th Grade,HSHV,"$365 per camper, per week; 3-day camp week is $220. Various other options for younger and older kids too - check website",9AM-4PM,Aftercare no longer offered as of 2024
Not yet updated for 2026,"Registration opens February 28, 2025.",Huron Valley Aikikai,5-12,"1904 Federal Blvd., A2",$250-$300/week,"June 24-28, 2024 only, 8:45am-3:30pm",No
OPEN for 2026,,iD Tech Camps @ UM,7-17,"Varies but all on UM campus, online options too","$1,079+ per week",Varies but some appear to be -- 8:30-4 or 5:30PM (depends on day),No
Coming Soon for 2026 - keep and eye on noted registration dates!,Registration opens March 11 @ noon,Independence Lake Camp,K-11 years,"Independence Lake 3200 Jennings Road Whitmore Lake, MI 48189",$250/week,8am-6pm,N/A
Coming Soon for 2026 - keep and eye on noted registration dates!,Registration for KidSport 2026 will begin in February.,Kid Sport Summer camp,4-11,Held at Eastern Mich U,TBD,TBD,"Yes, afternoons 4-5pm"
OPEN for 2026,"Contact Jenn, jtankanow@kidokinetics.com for scholarship info/No affiliation to St Francis, Everyone is welcome. Registration opens Jan 20th, 2026. !",Kidokinetics Multi-Sport Camp,5-11,"St Francis Catholic School; 2270 E Stadium Blvd, 48104",$255 (1/2 day); $365 (Full Day),Half Day: 9-12 or 1-4; Full day 9-4,8am-5pm $50/week
Coming Soon for 2026 - keep and eye on noted registration dates!,Registration begins February 18 at 8:00 AM. Camps begin July 6.,Kids on Campus @ Schoolcraft,Preschool - high school,Schoolcraft in Livonia,Varies - please look @ website,Varies - please look @ website,
OPEN for 2026,"Registration opens Jan 20th for Members + Jan 22nd, 2026 for non-members",Leslie Science & Nature Center,"4/5-5th grade, 13-17 as volunteers",Leslie Science Nature Center,$325,8:30AM-3:30PM,Yes -- additional fee of $100/week for 3:30-5pm
Coming Soon for 2026 - keep and eye on noted registration dates!,"Member Registration opens on February 9, 2026, at 6:00 p.m. Non-Member Registration opens on February 23, 2026, at 6:00 p.m.",Liberty Athletic Club - Camp Liberty,PreK-Y5 all the way through 5th Grade,West Ann Arbor,$415 Member / $485 Non-member,8:30am-4:30pm,Yes for an additional charge (see website)
OPEN for 2026,"Registration Opens - Jan 15, 2026",Little Bands,Incoming K-8th grade + High School,"2145 Independence Blvd, A2","$239 (half day), $419 (full day)",9-4,"Yes - 7:30-9AM ($15/day), 4-5:30PM ($15/day)"
Not yet updated for 2026,Farm Temporarily closed? Will keep an eye out for updates.,Maybury Farm Summer Camp,6-12,"Maybury Farm 50165 Eight Mile Road Northville, MI 48167",$360/week (4 days) or $285/week (3 days),"Tues-Friday, 9am - 4pm",No
Coming Soon for 2026 - keep and eye on noted registration dates!,"Registration will begin in person and online on Wednesday, March 11 at 12pm",Meri Lou Murray Rec Center,6-11 (must have completed Kinder),"MLM Rec Center: 2960 Washtenaw Ave, A2",$265/week,8AM-6PM,Included as part of the cost/schedule
Coming Soon for 2026 - keep and eye on noted registration dates!,"2026 Registration Opens February 2nd, 2026 @ 9am!",Michigan Out of Doors Youth Camp,6-15,Chelsea,$375-$850,9 am-4 pm + overnight options,No
OPEN for 2026,Email with questions: michiganswimcamps@gmail.com,Michigan Swimming Camps,9-18,"The pool at U of M - 500 E Hoover Ave, Ann Arbor",$860+ (lunch and no-lunch options),"Week 1: June 7–11, 2026 Week 2: June 14–18, 2026 Week 3: June 21–25, 2026 Week 4: July 26–30, 2026",N/A
Coming Soon for 2026 - keep and eye on noted registration dates!,2026 registration will open March 2nd - contact Sheila Meyer (meyers@milanareaschools.org) if you'd like to be added to the mailing list for registration,Milan Summer Camp,5-13,"Paddock Elementary, Milan",$44/day,7 am to 6 pm; Monday through Friday (Half Day Morning Hours are 7 am to 12:30 pm; Half Day Afternoon Hours are 12:30 pm to 6 pm. Early Childhood Programs operate from 7am-5:30pm.,N/A
Not yet updated for 2026,,Montibeller Park Day Camp,5-11,"Montibeller Park: 4305 Ellsworth Rd, Ypsilanti",$205/week,8:30am - 5pm,
OPEN for 2026,"January 15, 2026",MSU Tollgate Farm,K-6th Grade,"Novi, MI",Week-long day camps ($399 entire week) 9 AM- 4 PM Grades K-6 Aftercare available 4 PM- 6 PM ($85 entire week) Beforecare available 8 AM- 9 AM ($60 entire week),9am-4pm,Aftercare 4-6pm
Coming Soon for 2026 - keep and eye on noted registration dates!,Registration opens in advance to Museum members (at the Family level or above) on Feb. 19 at noon.Registration opens to the public on Feb. 20 at noon.,Museum of Natural History,Ages 4/5 & K-5th grade + Junior Counselors (13-17 yo),"1105 N University Ave, Ann Arbor, MI 48109",Varies - check website,Half days - can combine AM & PM sessions with Aftercare for full day,"Yes, 4-6PM"
Not yet updated for 2026,Opens Feb 2025,Nature Learning Community,5-12,"3 Camp Locations:
Nature Nurture Farm - Dexter
The Arboretum - Ann Arbor
Lillie Park - 4365 Platt Rd, Ann Arbor",$250/week,Mon-Thurs 10am-2pm,N/A
Not yet updated for 2026,,Neutral Zone,Entering 9th-12th grade,"310 E Washington, A2",FREE,"June 20-August 3, 3:30 - 6:00 pm",N/A
OPEN for 2026,,Norfork Farms - Summer Horse Camps,6+,WEBBERVILLE,Price Varies - see website,Daily 9am-4pm + overnight options,No
OPEN for 2026,,On Goal Soccer Camp,K-9th Grade,"Washtenaw Christian Academy: 7200 Moon Rd, Saline, MI 48176",$180/week (full day) OR $135 (half day AMs for K & 1st),"June 22-26, 2026, 9AM-3PM OR 9AM-12PM",Does not appear so
Not yet updated for 2026,,Oz's Music Camps,5+,"Oz's Music - 1920 Packard St, A2","$290 - half day (9-12 OR 1-4), $525 Full day (9-4)",Half and Full day options,No
OPEN for 2026,"Will open for summer registration Jan 26, 2026 - there is also spring break camp for 2026 if interested. Summer Camp registration is now open too!",PandaPrograms Summer Camp,3-12,Zion Lutheran Church - 1501 W. Liberty,"$375/week ($400/week for preschool) - one day camps are $85/90, scholarships available and discounts available for registering for multiple weeks of summer camp","Mid Winter (2/14, 2/17, 2/18) Spring Break (3/24-3/28), Summer (June 12-13 Mini Camp, Weekly Camp from June 23 - August 22 (no camp 7/4)",No
Coming Soon for 2026 - keep and eye on noted registration dates!,"All registration links will be activated on March 3, 2026 at 12pm.",Planet Rock,6-13,82 Aprill Dr. | Ann Arbor,$315/week,Mon-Thurs 8:30am-12pm,No
Coming Soon for 2026 - keep and eye on noted registration dates!,"Registration will begin in person and online on Wednesday, March 11 at 12pm",Playground/Eastside Camp,K-11 years,YPSI,$25 per week,9am-4pm,No
Coming Soon for 2026 - keep and eye on noted registration dates!,,PYTMI Theater Camp,1st-12th grade,All Camps take place at 328 Harriet St. Ypsilanti,Varies - check website for Details,Varies - check website for Details,
Not yet updated for 2026,"Registration opens Feb 14, 2025",Real Life Farm Camp,2.5 - 6 years old,Real LIfe Nursery School - Canton,$280/week full time,6:30am-6pm,N/A
OPEN for 2026,,Ring of Steel Stunt Camp,8-17,"3907 Varsity Drive, Ann Arbor",$415/week with available discounts for siblings and military,",",No
Coming Soon for 2026 - keep and eye on noted registration dates!,"Camp Registration Opens: February 2, 2026.",Riverside Arts,Ages 6-13,"Riverside Arts, Ypsi","Camp fees are $300/weekly for non-Ypsilanti residents, and $285/weekly for Ypsilanti residents via a discount code",9am-3pm,No
OPEN for 2026,,Rocks and Robots,6-16,"Sunward Cohousing
424 Little Lake Dr Ann Arbor, MI 48103","$1200/week + varies, see website","9:00 to 3:30 (M,W,F), 9:00 to 5:00 (T,Th) ",
Not yet updated for 2026,Registration opens March 12 @ noon,Rolling Hills,K-11 years old,"7660 Stony Creek Rd., Ypsilanti, MI 48197",$250,8AM-6PM,
Not yet updated for 2026,,Rudolph Steiner,,North of Plymouth Rd,$355,Half day and Full day options,None
Coming Soon for 2026 - keep and eye on noted registration dates!,"Registration Opens TUESDAY, FEBRUARY 24th AT 10:00A - Safety Town is for incoming Young 5, Kindergarten or First Grade students. Students must be 5 years old by December 1, 2026",Safety Town,"Y5, K, 1st grade",Wines Elementary School ,"$129 for AM Safety town + $149 for Safety Town After Care, Scholarships available",8:45-11:45AM,
Not yet updated for 2026,,Saline Parks Kids Camps,5-12 years,"Saline Parks & Recreation and the Saline Rec Center 1866 Woodland Dr., Saline",TBD,Camp is open 7:30 am–5:30 pm Monday thru Friday. Drop off is 7:30-9am.  Pick up is 4-5:30pm.,N/A
OPEN for 2026,We offer a 10% sibling discount if you have multiple children enrolled.,Stone School Coop Summer Camp,Preschool aged,"Stone School Cooperative Nursery 2811 Stone School Rd, Ann Arbor","$175 half day, $225 full day",Half Day (9am-12pm) or Full Day (9am - 2pm),
Not yet updated for 2026,,Summers Knoll,AVAILABLE CAMPS Preschool: Ages 3-5 Young 5s - 2nd Grade: Ages 5 -7 3rd - 6th Grade: Ages 8 - 11 ,"2203 Platt Rd, A2",$400/week,Drop Off: 8:30 – 8:45 am /////// Pick Up: 3:30 – 5:30 pm,Aftercare included
OPEN for 2026,,Sur La Table Kids Summer Series,7-17,Sur La Table - Arbor Hills,Varies,2-2.5 hrs per day for a week,N/A
Not yet updated for 2026,,Sylvan Factory Games - Summer Youth Camp,10-16,Sylvan Games - West side of A2 near Goldfish,$300-$350/week,"M-F, 12:30-4pm",N/A
Coming Soon for 2026 - keep and eye on noted registration dates!,"Registration will open February 1st, 2026.",The Broadway Intensive (Theater Camp),Grades 3-8,Pioneer High School,$350,10am-3pm,N/A
Not yet updated for 2026,,The Farm at Trinity Health,Ages 4-11,"5557 McAuley Dr.,  Ann Arbor, MI, 48197",$150-$270/week,Various - check website,No
Not yet updated for 2026,,Throw Art Studio,5-12,"130 Jackson Plaza #2A, Ann Arbor, MI 48103",$399/child,"Mon-Fri, 11am-2pm",No
Not yet updated for 2026,,U-M Track + Cross Country Kids Camps,UM Young Stars (K through 6th grade as of fall 2026) June 22-25 July 6-9 UM Track and Field Camp (7th through 12th grade as of fall 2026) July 6-9,Michigan Outdoor Track Stadium 2540 South State Street,~$360 for all days or $100 per date,M-F 8:30am-4pm,No
Coming Soon for 2026 - keep and eye on noted registration dates!,Various - ongoing - check website,University of Michigan Engineering Camps,4th grade - HS,Varies,Cost Varies - see website,Varies,No
Coming Soon for 2026 - keep and eye on noted registration dates!,"Notes from last year - The 2025 Future U schedule will be available in January 2025, camps will run from July 7, 2025- August 4, 2025. Registration will open on March 7, 2025, at 12 am. The Future U Open House will be in April 2025.",WCC Youth on Campus,9-18,Washtenaw Community College,Ranging from $150 9am-12pm + $650 9am-3pm classes,1- full day camps and 11 half day camps,No
OPEN for 2026,,WideWorld Sports Center,4-14,"2140 Oak Valley Dr, A2",Cost Varies - see website,9AM-4PM (full) or 9-12:30 OR 12:30-4pm (half) ,YES - FREE
OPEN for 2026,,YMCA Camp Al-Gon-Quian,"6-9 mini camp
8-16","Burt Lake, MI - 3.5 hours north of A2",Dates and rates click here,Sleepaway,
Coming Soon for 2026 - keep and eye on noted registration dates!,"2026 Info - Members, Returning Campers & Siblings: Sunday, February 15th at 11:00 a.m. Open Registration: Thursday, February 19th at 6:00 p.m",YMCA Camp Birkett,"5-12
11-14 Leader in Training Program",Pinckney,$310,M-F 8:30AM-4:30PM,
Greenhills is closed Summer 2026 - stay tuned for updates in 2027!,,YMCA Camp Greenhills,5-11,,,Mon-Friday 8am-4:45pm,
Coming Soon for 2026 - keep and eye on noted registration dates!,"2026 Info - Members, Returning Campers & Siblings: Sunday, February 15th at 11:00 a.m. Open Registration: Thursday, February 19th at 6:00 p.m",YMCA Camp New Heights,5-11,"Ypsilanti Township Community Center, 2025 East Clark Road, Ypsilanti, Michigan",,Mon-Friday 8am-4:45pm,
Coming Soon for 2026 - keep and eye on noted registration dates!,"2026 Info - Members, Returning Campers & Siblings: Sunday, February 15th at 11:00 a.m. Open Registration: Thursday, February 19th at 6:00 p.m",YMCA Downtown,5+,"400 W Washington St, A2",Varies,Varies,
OPEN for 2026,,YMCA Storer Camps,Varies,"Jackson, Mi",Varies,Varies,Yes
Coming Soon for 2026 - keep and eye on noted registration dates!,,Young Filmmaker's Camp,10-17,"Michigan Theater
603 E. Liberty St. Ann Arbor, MI 48104",Varies - check website,,
Not yet updated for 2026,"Registration opens Feb 20, 2025",Young People's Theater Camp,1st grade +,"All camps will be held at YPT’s Studio location: 331 Metty Drive, Suites #2, #3 and #4 Ann Arbor",$350 - $700/week,9-3,No
Not yet updated for 2026,Summer camp for past family registration will open on March 3rd and new family registration will open on March 17th,Zant Zone Summer Camp,5-12,PINCKNEY,"Jr Campers, ages 5 (going to kindergarten)-6 yrs., $65 per day or $325 per week NO Registration Fee Campers, ages 6 (have completed Kindergarten)-12yrs, $55 per day or $275 per week Registration Fee, $100 per child",7AM-530PM,No
Not yet updated for 2026,,Zingerman's Kids Camp - Baking Basics,10-12,"3723 PLAZA DRIVE ANN ARBOR, MI 48108",Half day classes - $325 per class,Check website for options,N/A
